Breakout,Age,Pos_Group,Bats,Throws,Height,Weight,Country,Class_Type,Prospect_Grouping,Prev_Season_WAR,Season_High_WAR,MLB_Certainty,MLB_BB,MLB_K,MLB_AVG,MLB_ISO,MLB_Spd,MLB_wRC,MiLB_Certainty,MiLB_BB,MiLB_K,MiLB_AVG,MiLB_ISO,MiLB_Spd,MiLB_wRC
0,24,Middle Infielder,B,R,70,190,NIC,International Amateur,Unranked Prospect,-0.3,0.9,500-999 MLB PA,0.096,0.209,0.238,0.093,7.6,81,1000-1499 MiLB PA,0.12,0.185,0.284,0.096,8,116
0,24,Corner Infielder,L,L,76,220,USA,Big D1 College,Top 100 Prospect,2.9,2.9,500-999 MLB PA,0.12,0.23,0.264,0.176,2.8,116,500-999 MiLB PA,0.116,0.208,0.288,0.179,2.2,138
0,24,Outfielder,L,L,71,210,VEN,International Amateur,Top 100 Prospect,0.7,0.7,500-999 MLB PA,0.054,0.187,0.277,0.112,4.7,79,1500-1999 MiLB PA,0.081,0.113,0.314,0.127,6.7,122
0,24,Middle Infielder,R,R,72,188,USA,Big D1 College,Top 25 Prospect,0.8,2.3,500-999 MLB PA,0.084,0.169,0.26,0.156,3.9,96,Fewer than 500 MiLB PA,0.073,0.127,0.322,0.197,3.3,149
0,24,Corner Infielder,B,L,76,220,USA,Big D1 College,Top 25 Prospect,-0.4,-0.4,Fewer than 500 MLB PA,0.116,0.229,0.218,0.152,1.9,81,500-999 MiLB PA,0.157,0.173,0.288,0.178,1.5,135
0,24,Catcher,R,R,73,213,USA,Big D1 College,Top 10 Prospect,4,4,Fewer than 500 MLB PA,0.065,0.128,0.298,0.191,2.5,127,500-999 MiLB PA,0.131,0.136,0.333,0.209,4.3,154
0,25,Corner Infielder,L,R,76,255,USA,Junior College,Top 100 Prospect,-0.7,0.8,500-999 MLB PA,0.068,0.319,0.248,0.211,3.5,91,1500-1999 MiLB PA,0.082,0.241,0.311,0.258,4.1,141
0,26,Outfielder,R,R,76,205,USA,Big D1 College,Top 100 Prospect,3.3,3.3,500-999 MLB PA,0.09,0.279,0.258,0.184,7.2,104,1500-1999 MiLB PA,0.119,0.234,0.269,0.132,7.1,117
0,26,Middle Infielder,R,R,73,195,USA,Big D1 College,Top 100 Prospect,0.5,0.5,Fewer than 500 MLB PA,0.068,0.215,0.253,0.125,5.9,90,1500-1999 MiLB PA,0.103,0.2,0.284,0.15,6.6,126
0,25,Corner Infielder,R,R,73,213,USA,D1 College,Top 10 Prospect,7.5,7.5,1500-1999 MLB PA,0.103,0.21,0.283,0.237,4.9,134,500-999 MiLB PA,0.109,0.18,0.301,0.234,3.6,150
0,28,Corner Infielder,R,R,74,213,USA,D1 College,Unranked Prospect,1.1,1.1,Fewer than 500 MLB PA,0.076,0.217,0.299,0.114,2.6,114,1500-1999 MiLB PA,0.098,0.194,0.308,0.225,4.9,140
0,26,Catcher,R,R,73,210,USA,Big D1 College,Top 50 Prospect,-1.1,-0.2,500-999 MLB PA,0.073,0.275,0.213,0.218,3,87,1500-1999 MiLB PA,0.055,0.204,0.275,0.233,2.3,115
0,27,Corner Outfielder,L,L,76,225,USA,Big D1 College,Unranked Prospect,1.6,1.6,500-999 MLB PA,0.076,0.185,0.269,0.167,4.5,106,1500-1999 MiLB PA,0.06,0.182,0.273,0.161,5.4,110
0,28,Infielder,R,R,73,190,USA,Big D1 College,Unranked Prospect,1.2,1.2,Fewer than 500 MLB PA,0.082,0.205,0.244,0.181,2.3,103,1500-1999 MiLB PA,0.073,0.112,0.298,0.18,5.9,120
0,27,Corner Infielder,R,R,75,225,USA,D1 College,Unranked Prospect,-0.9,1,500-999 MLB PA,0.041,0.246,0.273,0.144,3.7,95,1500-1999 MiLB PA,0.053,0.179,0.276,0.156,4.2,97
0,24,Catcher,R,R,73,241,VEN,International Amateur,Top 100 Prospect,4.4,4.4,500-999 MLB PA,0.077,0.17,0.269,0.169,1.9,108,1500-1999 MiLB PA,0.056,0.164,0.285,0.145,2.9,113
0,25,Outfielder,R,R,74,210,USA,Junior College,Top 10 Prospect,2.5,2.5,Fewer than 500 MLB PA,0.106,0.203,0.254,0.187,8.3,124,2000 or more MiLB PA,0.108,0.143,0.294,0.149,8.3,130
0,27,Corner Infielder,R,R,74,215,USA,Big D1 College,Top 25 Prospect,-0.6,0.2,1000-1499 MLB PA,0.08,0.204,0.238,0.16,2.8,92,1000-1499 MiLB PA,0.106,0.164,0.298,0.268,3,157
0,26,Middle Infielder,R,R,70,180,USA,Big D1 College,Unranked Prospect,1.6,1.6,500-999 MLB PA,0.043,0.12,0.271,0.074,5.6,76,1500-1999 MiLB PA,0.065,0.116,0.287,0.09,5.3,93
0,25,Corner Infielder,L,R,75,250,DR,Big D1 College,Top 10 Prospect,-1,1.5,500-999 MLB PA,0.094,0.307,0.23,0.162,2.3,91,500-999 MiLB PA,0.129,0.246,0.278,0.238,3.8,141
